"Arquivo","Namespace","Classe","Interface","Trait","Enum","Linhas","TamanhoKB"
"C:\zabbix\glpi\plugins\solpi\src\Database\SchemaManager.php","namespace SOLPI\Database;","final class SchemaManager",,,,"39","0,57"
"C:\zabbix\glpi\plugins\solpi\src\Database\Seeder.php","namespace SOLPI\Database;","final class Seeder",,,,"40","0,56"
"C:\zabbix\glpi\plugins\solpi\src\Database\Uninstaller.php","namespace SOLPI\Database;","final class Uninstaller",,,,"42","0,57"
"C:\zabbix\glpi\plugins\solpi\src\Database\VersionManager.php","namespace SOLPI\Database;","final class VersionManager",,,,"24","0,43"
"C:\zabbix\glpi\plugins\solpi\src\Documents\Entities\Document.php","namespace SOLPI\Documents\Entities;","final class Document",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Documents\Repositories\DocumentRepository.php","namespace SOLPI\Documents\Repositories;","final class DocumentRepository",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Documents\Services\DocumentService.php","namespace SOLPI\Documents\Services;","final class DocumentService",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Exceptions\ConfigurationException.php","namespace SOLPI\Exceptions;","final class ConfigurationException extends SOLPIException",,,,"9","0,13"
"C:\zabbix\glpi\plugins\solpi\src\Exceptions\IntegrationException.php","namespace SOLPI\Exceptions;","final class IntegrationException extends SOLPIException",,,,"9","0,13"
"C:\zabbix\glpi\plugins\solpi\src\Exceptions\SOLPIException.php","namespace SOLPI\Exceptions;","class SOLPIException extends Exception",,,,"11","0,13"
"C:\zabbix\glpi\plugins\solpi\src\Helpers\ArrayHelper.php","namespace SOLPI\Helpers;","final class ArrayHelper",,,,"27","0,52"
"C:\zabbix\glpi\plugins\solpi\src\Helpers\DateHelper.php","namespace SOLPI\Helpers;","final class DateHelper",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Helpers\HttpHelper.php","namespace SOLPI\Helpers;","final class HttpHelper",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Helpers\JsonHelper.php","namespace SOLPI\Helpers;","final class JsonHelper",,,,"38","0,64"
"C:\zabbix\glpi\plugins\solpi\src\Helpers\SecurityHelper.php","namespace SOLPI\Helpers;","final class SecurityHelper",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Helpers\StringHelper.php","namespace SOLPI\Helpers;","final class StringHelper",,,,"36","0,75"
"C:\zabbix\glpi\plugins\solpi\src\Helpers\ValidationHelper.php","namespace SOLPI\Helpers;","final class ValidationHelper",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Integrations\Evolution\EvolutionClient.php","namespace SOLPI\Integrations\Evolution;","final class EvolutionClient",,,,"95","2,5"
"C:\zabbix\glpi\plugins\solpi\src\Integrations\Evolution\EvolutionService.php","namespace SOLPI\Integrations\Evolution;","final class EvolutionService",,,,"36","0,67"
"C:\zabbix\glpi\plugins\solpi\src\Integrations\Zabbix\AlertService.php","namespace SOLPI\Integrations\Zabbix;","final class AlertService",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Integrations\Zabbix\EventService.php","namespace SOLPI\Integrations\Zabbix;","final class EventService",,,,"29","0,49"
"C:\zabbix\glpi\plugins\solpi\src\Integrations\Zabbix\HostService.php","namespace SOLPI\Integrations\Zabbix;","final class HostService",,,,"26","0,37"
