"FullName","Length","Extension","LastWriteTime"
"C:\SOLPI\glpi\plugins\solpi\src\Exceptions\SOLPIException.php","130",".php","27/06/2026 22:18:34"
"C:\SOLPI\glpi\plugins\solpi\src\Helpers\ArrayHelper.php","535",".php","27/06/2026 22:21:41"
"C:\SOLPI\glpi\plugins\solpi\src\Helpers\DateHelper.php","286",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Helpers\HttpHelper.php","286",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Helpers\JsonHelper.php","652",".php","27/06/2026 22:23:27"
"C:\SOLPI\glpi\plugins\solpi\src\Helpers\SecurityHelper.php","290",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Helpers\StringHelper.php","770",".php","27/06/2026 22:22:35"
"C:\SOLPI\glpi\plugins\solpi\src\Helpers\ValidationHelper.php","292",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Integrations\Evolution\EvolutionClient.php","5097",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\src\Integrations\Evolution\EvolutionService.php","919",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\src\Integrations\Zabbix\AlertService.php","283",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Integrations\Zabbix\EventService.php","504",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Integrations\Zabbix\HostService.php","381",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Integrations\Zabbix\TriggerService.php","472",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Integrations\Zabbix\ZabbixClient.php","805",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Integrations\Zabbix\ZabbixModel.php","222",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\CsvImporter.php","498",".php","28/06/2026 14:11:05"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\EntityExtractor.php","2918",".php","28/06/2026 13:56:22"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\HtmlImporter.php","715",".php","28/06/2026 14:09:58"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\ImportEngine.php","859",".php","28/06/2026 14:08:09"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\ImporterInterface.php","153",".php","28/06/2026 14:15:31"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\ImportFactory.php","616",".php","28/06/2026 14:18:56"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\JsonImporter.php","480",".php","28/06/2026 14:17:14"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\KnowledgeEngine.php","1544",".php","28/06/2026 13:50:54"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\KnowledgeEntity.php","1380",".php","28/06/2026 13:51:25"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\KnowledgeGraph.php","1285",".php","28/06/2026 13:57:44"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\KnowledgeGraphEngine.php","1047",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\KnowledgeMemory.php","293",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\KnowledgeRelationship.php","884",".php","28/06/2026 13:51:52"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\MemoryEngine.php","873",".php","28/06/2026 14:07:45"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\RelationshipBuilder.php","692",".php","28/06/2026 13:57:07"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\SyncEngine.php","288",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Knowledge\TxtImporter.php","239",".php","28/06/2026 14:16:27"
